pid,priority,n_run,running_time,ticks
4, 4, 167, 1904, 5893
5, 4, 167, 2, 5907
3, 4, 175, 2792, 5910
6, 4, 168, 854, 5924
4, 4, 168, 1921, 5927
5, 4, 168, 2, 5941
3, 4, 176, 2809, 5944
6, 4, 169, 854, 5958
4, 4, 169, 1938, 5961
5, 4, 169, 2, 5975
3, 4, 177, 2826, 5978
6, 4, 170, 854, 5992
4, 4, 170, 1955, 5995
5, 4, 170, 2, 6009
3, 4, 178, 2843, 6012
6, 4, 171, 854, 6026
4, 4, 171, 1972, 6029
5, 4, 171, 2, 6043
3, 4, 179, 2860, 6046
6, 4, 172, 854, 6060
4, 4, 172, 1989, 6063
5, 4, 172, 2, 6077
3, 4, 180, 2877, 6080
6, 4, 173, 854, 6094
4, 4, 173, 2006, 6097
5, 4, 173, 2, 6111
3, 4, 181, 2894, 6114
6, 4, 174, 854, 6128
4, 4, 174, 2023, 6131
5, 4, 174, 2, 6145
3, 4, 182, 2911, 6148
6, 4, 175, 854, 6162
4, 4, 175, 2040, 6165
5, 4, 175, 2, 6179
3, 4, 183, 2928, 6182
6, 4, 176, 854, 6196
4, 4, 176, 2057, 6199
5, 4, 176, 2, 6213
3, 4, 184, 2945, 6216
6, 4, 177, 854, 6230
4, 4, 177, 2074, 6233
5, 4, 177, 2, 6247
3, 4, 185, 2962, 6250
6, 4, 178, 854, 6264
4, 4, 178, 2091, 6267
5, 4, 178, 2, 6281
3, 4, 186, 2979, 6284
6, 4, 179, 854, 6298
4, 4, 179, 2108, 6301
5, 4, 179, 2, 6315
3, 4, 187, 2996, 6318
6, 4, 180, 854, 6332
4, 4, 180, 2125, 6335
5, 4, 180, 2, 6349
3, 4, 188, 3013, 6352
6, 4, 181, 854, 6366
4, 4, 181, 2142, 6369
5, 4, 181, 2, 6383
3, 4, 189, 3030, 6386
6, 4, 182, 854, 6400
4, 4, 182, 2159, 6403
5, 4, 182, 2, 6417
3, 4, 190, 3047, 6420
6, 4, 183, 854, 6434
4, 4, 183, 2176, 6437
5, 4, 183, 2, 6451
3, 4, 191, 3064, 6454
6, 4, 184, 854, 6468
4, 4, 184, 2193, 6471
5, 4, 184, 2, 6485
3, 4, 192, 3081, 6488
6, 4, 185, 854, 6502
4, 4, 185, 2210, 6505
5, 4, 185, 2, 6519
3, 4, 193, 3098, 6522
6, 4, 186, 854, 6536
4, 4, 186, 2227, 6539
5, 4, 186, 2, 6553
3, 4, 194, 3115, 6556
6, 4, 187, 854, 6570
4, 4, 187, 2244, 6573
5, 4, 187, 2, 6587
3, 4, 195, 3132, 6590
6, 4, 188, 854, 6604
4, 4, 188, 2261, 6607
5, 4, 188, 2, 6621
3, 4, 196, 3149, 6624
6, 4, 189, 854, 6638
4, 4, 189, 2278, 6641
5, 4, 189, 2, 6655
3, 4, 197, 3166, 6658
6, 4, 190, 854, 6672
4, 4, 190, 2295, 6675
5, 4, 190, 2, 6689
3, 4, 198, 3183, 6692
6, 4, 191, 854, 6706
4, 4, 191, 2312, 6709
5, 4, 191, 2, 6723
3, 4, 199, 3200, 6726
6, 4, 192, 854, 6740
4, 4, 192, 2329, 6743
5, 4, 192, 2, 6757
3, 4, 200, 3217, 6760
6, 4, 193, 854, 6774
4, 4, 193, 2346, 6777
5, 4, 193, 2, 6791
3, 4, 201, 3234, 6794
6, 4, 194, 854, 6808
4, 4, 194, 2363, 6811
5, 4, 194, 2, 6825
3, 4, 202, 3251, 6828
6, 4, 195, 854, 6842
4, 4, 195, 2380, 6845
5, 4, 195, 2, 6859
3, 4, 203, 3268, 6862
6, 4, 196, 854, 6876
4, 4, 196, 2397, 6879
5, 4, 196, 2, 6893
3, 4, 204, 3285, 6896
6, 4, 197, 854, 6910
4, 4, 197, 2414, 6913
5, 4, 197, 2, 6927
3, 4, 205, 3302, 6930
6, 4, 198, 854, 6944
4, 4, 198, 2431, 6947
5, 4, 198, 2, 6961
3, 4, 206, 3319, 6964
6, 4, 199, 854, 6978
4, 4, 199, 2448, 6981
5, 4, 199, 2, 6995
3, 4, 207, 3336, 6998
6, 4, 200, 854, 7012
4, 4, 200, 2465, 7015
5, 4, 200, 2, 7029
3, 4, 208, 3353, 7032
6, 4, 201, 854, 7046
4, 4, 201, 2482, 7049
5, 4, 201, 2, 7063
3, 4, 209, 3370, 7066
6, 4, 202, 854, 7080
4, 4, 202, 2499, 7083
5, 4, 202, 2, 7097
3, 4, 210, 3387, 7100
6, 4, 203, 854, 7114
4, 4, 203, 2516, 7117
5, 4, 203, 2, 7131
3, 4, 211, 3404, 7134
6, 4, 204, 854, 7148
4, 4, 204, 2533, 7151
5, 4, 204, 2, 7165
3, 4, 212, 3421, 7168
6, 4, 205, 854, 7182
4, 4, 205, 2550, 7185
5, 4, 205, 2, 7199
3, 4, 213, 3438, 7202
6, 4, 206, 854, 7216
4, 4, 206, 2567, 7219
5, 4, 206, 2, 7233
3, 4, 214, 3455, 7236
6, 4, 207, 854, 7250
4, 4, 207, 2584, 7253
5, 4, 207, 2, 7267
3, 4, 215, 3472, 7270
6, 4, 208, 854, 7284
4, 4, 208, 2601, 7287
5, 4, 208, 2, 7301
3, 4, 216, 3489, 7304
6, 4, 209, 854, 7318
4, 4, 209, 2618, 7321
5, 4, 209, 2, 7335
3, 4, 217, 3506, 7338
6, 4, 210, 854, 7352
4, 4, 210, 2635, 7355
5, 4, 210, 2, 7369
3, 4, 218, 3523, 7372
6, 4, 211, 854, 7386
4, 4, 211, 2652, 7389
5, 4, 211, 2, 7403
3, 4, 219, 3540, 7406
6, 4, 212, 854, 7420
4, 4, 212, 2669, 7423
5, 4, 212, 2, 7437
3, 4, 220, 3557, 7440
6, 4, 213, 854, 7454
4, 4, 213, 2686, 7457
5, 4, 213, 2, 7471
3, 4, 221, 3574, 7474
2, 0, 18, 3, 7484
4, 4, 214, 2703, 7488
5, 4, 214, 2, 7501
1, 0, 24, 5, 7501
6, 4, 215, 871, 7501
4, 4, 215, 2703, 7505
1, 0, 25, 5, 7511
1, 0, 26, 5, 7514
2, 0, 19, 3, 139738
7, 0, 1, 0, 139739
7, 1, 2, 2, 139741
2, 0, 20, 3, 139742
