pid,priority,n_run,running_time,ticks
1, 0, 1, 0, 0
1, 0, 2, 0, 1
1, 0, 3, 0, 1
1, 0, 4, 0, 1
1, 0, 5, 0, 1
1, 0, 6, 0, 1
1, 0, 7, 0, 1
1, 0, 8, 0, 1
1, 0, 9, 0, 1
1, 0, 10, 1, 2
1, 0, 11, 1, 2
1, 0, 12, 1, 2
1, 0, 13, 1, 2
1, 0, 14, 1, 2
1, 0, 15, 2, 3
1, 0, 16, 2, 3
1, 0, 17, 2, 3
1, 0, 18, 2, 3
1, 0, 19, 2, 3
1, 0, 20, 2, 3
1, 0, 21, 2, 3
1, 0, 22, 3, 4
2, 0, 1, 0, 5
2, 0, 2, 0, 5
2, 0, 3, 0, 5
2, 0, 4, 0, 5
2, 0, 5, 0, 5
2, 0, 6, 0, 5
2, 0, 7, 1, 6
2, 0, 8, 1, 6
2, 0, 9, 1, 6
2, 0, 10, 1, 6
2, 0, 11, 1, 6
2, 0, 12, 1, 6
2, 0, 13, 1, 6
2, 0, 14, 1, 6
2, 0, 15, 1, 6
2, 0, 16, 2, 337
3, 0, 1, 0, 337
3, 0, 2, 0, 338
3, 0, 3, 0, 338
3, 0, 4, 0, 338
3, 0, 5, 0, 338
3, 0, 6, 0, 338
3, 0, 7, 0, 338
3, 0, 8, 0, 338
4, 0, 1, 0, 339
5, 0, 1, 0, 340
6, 0, 1, 0, 341
3, 1, 9, 2, 342
4, 1, 2, 0, 343
5, 1, 2, 2, 345
6, 1, 2, 0, 346
3, 2, 10, 5, 348
4, 2, 3, 0, 349
5, 2, 3, 5, 353
6, 2, 3, 0, 354
3, 3, 11, 10, 358
4, 3, 4, 0, 359
5, 3, 4, 10, 367
6, 3, 4, 0, 368
3, 4, 12, 19, 376
4, 4, 5, 0, 377
5, 3, 5, 19, 393
6, 3, 5, 0, 394
3, 4, 13, 36, 402
4, 4, 6, 0, 403
5, 3, 6, 28, 419
6, 3, 6, 0, 420
3, 4, 14, 53, 428
4, 4, 7, 0, 429
5, 3, 7, 37, 445
6, 3, 7, 0, 446
3, 4, 15, 70, 454
4, 4, 8, 0, 455
5, 3, 8, 46, 471
6, 3, 8, 0, 472
3, 4, 16, 87, 480
4, 4, 9, 0, 481
5, 3, 9, 55, 497
6, 3, 9, 0, 498
3, 4, 17, 104, 506
4, 4, 10, 0, 507
5, 3, 10, 64, 523
6, 3, 10, 0, 524
3, 4, 18, 121, 532
4, 4, 11, 0, 533
5, 3, 11, 73, 549
6, 3, 11, 0, 550
3, 4, 19, 138, 558
4, 4, 12, 0, 559
5, 3, 12, 82, 575
6, 3, 12, 0, 576
3, 4, 20, 155, 584
4, 4, 13, 0, 585
5, 3, 13, 91, 601
6, 3, 13, 0, 602
3, 4, 21, 172, 610
4, 4, 14, 0, 611
5, 3, 14, 100, 627
6, 3, 14, 0, 628
3, 4, 22, 189, 636
4, 4, 15, 0, 637
5, 3, 15, 109, 653
6, 3, 15, 0, 654
3, 4, 23, 206, 662
4, 4, 16, 0, 663
5, 3, 16, 118, 679
6, 3, 16, 0, 680
3, 4, 24, 223, 688
4, 4, 17, 0, 689
5, 3, 17, 127, 705
6, 3, 17, 0, 706
3, 4, 25, 240, 714
4, 4, 18, 0, 715
5, 3, 18, 136, 731
6, 3, 18, 0, 732
3, 4, 26, 257, 740
4, 4, 19, 0, 741
5, 3, 19, 145, 757
6, 3, 19, 0, 758
3, 4, 27, 274, 766
4, 4, 20, 0, 767
5, 3, 20, 154, 783
6, 3, 20, 0, 784
3, 4, 28, 291, 792
4, 4, 21, 0, 793
5, 3, 21, 163, 809
6, 3, 21, 0, 810
3, 4, 29, 308, 818
4, 4, 22, 0, 819
5, 3, 22, 172, 835
6, 3, 22, 0, 836
3, 4, 30, 325, 844
4, 4, 23, 0, 845
5, 3, 23, 181, 861
6, 3, 23, 0, 862
3, 4, 31, 342, 870
4, 4, 24, 0, 871
5, 3, 24, 190, 887
6, 3, 24, 0, 888
3, 4, 32, 359, 896
